"","species","simple_peak_type","Median","Std_Dev","Min","Max"
"1","schLug1","cons_peak",531,393.996706146921,22,3682
"2","schLug1","peak_nS",190,315.756220986217,22,3442
"3","schLug1","cons_region",232,228.205401374106,22,3033
"4","schLug1","region_nS",82,133.321020836409,22,2040
"5","schNov1","cons_peak",539,393.448131419895,22,3636
"6","schNov1","peak_nS",230,328.648228831624,22,2624
"7","schNov1","cons_region",235,234.405976902311,22,3039
"8","schNov1","region_nS",84,136.329387233857,22,2042
"9","schPol2","cons_peak",597,436.762468304528,23,3715
"10","schPol2","peak_nS",216,346.459451169526,22,2621
"11","schPol2","cons_region",280,268.215859570403,22,3235
"12","schPol2","region_nS",93,158.693740844851,22,2223
