# BUSCO version is: 5.3.2 
# The lineage dataset is: metazoa_odb10 (Creation date: 2021-02-17, number of genomes: 65, number of BUSCOs: 954)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length
5951at33208	Duplicated	dd_Smes_g4_23	3645608	3653059	-	3738.8	2002
5951at33208	Duplicated	dd_Smes_g4_23	3545529	3552984	+	3520.7	1935
9639at33208	Complete	dd_Smes_g4_55	1218144	1261917	+	1606.3	1376
13816at33208	Complete	dd_Smes_g4_3	1123311	1139690	-	616.4	713
14776at33208	Missing
16244at33208	Complete	dd_Smes_g4_31	354975	361874	+	2207.4	1689
40200at33208	Fragmented	dd_Smes_g4_173	947340	949865	+	273.3	252
45934at33208	Complete	dd_Smes_g4_110	1946341	1970395	+	501.6	679
49474at33208	Complete	dd_Smes_g4_136	454609	467129	+	640.8	721
50756at33208	Complete	dd_Smes_g4_95	900156	903852	-	645.5	654
56573at33208	Duplicated	dd_Smes_g4_364	95787	99238	-	840.9	885
56573at33208	Duplicated	dd_Smes_g4_74	941128	944579	+	839.5	885
56573at33208	Duplicated	dd_Smes_g4_99	1493037	1495582	+	818.9	710
57158at33208	Complete	dd_Smes_g4_103	1323706	1328050	-	1635.1	1035
63697at33208	Complete	dd_Smes_g4_1	10312720	10317897	-	1731.1	1084
64435at33208	Fragmented	dd_Smes_g4_49	2492645	2494210	+	92.6	170
65302at33208	Missing
66018at33208	Duplicated	dd_Smes_g4_115	2055129	2059349	+	1160.0	857
66018at33208	Duplicated	dd_Smes_g4_208	853574	857794	-	1011.2	785
75406at33208	Complete	dd_Smes_g4_173	729359	731455	-	377.9	544
76852at33208	Fragmented	dd_Smes_g4_268	341304	348303	-	408.0	406
84980at33208	Complete	dd_Smes_g4_116	296998	299790	+	722.4	574
88053at33208	Fragmented	dd_Smes_g4_134	1639448	1642302	+	130.5	116
92367at33208	Missing
99614at33208	Complete	dd_Smes_g4_92	920467	947125	+	1043.4	876
99987at33208	Complete	dd_Smes_g4_108	353863	356581	+	270.1	574
102804at33208	Complete	dd_Smes_g4_23	801213	805185	+	655.8	648
103854at33208	Fragmented	dd_Smes_g4_2	12834110	12841303	-	118.2	187
107151at33208	Complete	dd_Smes_g4_13	1938313	1941090	-	976.1	780
107574at33208	Missing
108764at33208	Missing
109109at33208	Complete	dd_Smes_g4_22	5798541	5803439	+	786.4	567
111730at33208	Complete	dd_Smes_g4_65	1360019	1376370	-	698.5	631
111746at33208	Missing
114954at33208	Complete	dd_Smes_g4_48	2719344	2742174	-	353.6	363
115878at33208	Complete	dd_Smes_g4_38	1635623	1644072	-	244.5	229
118209at33208	Duplicated	dd_Smes_g4_113	912117	931417	+	1463.5	854
118209at33208	Duplicated	dd_Smes_g4_10	3473277	3480867	+	1398.5	854
119252at33208	Duplicated	dd_Smes_g4_43	2116226	2118197	+	632.7	515
119252at33208	Duplicated	dd_Smes_g4_451	27118	29083	-	631.8	515
119591at33208	Complete	dd_Smes_g4_282	143581	156276	+	1015.7	839
121127at33208	Missing
123923at33208	Complete	dd_Smes_g4_70	1039768	1056505	-	258.2	397
124302at33208	Complete	dd_Smes_g4_15	740943	747997	-	519.3	422
127766at33208	Complete	dd_Smes_g4_3	13829749	13846498	+	605.9	531
129179at33208	Complete	dd_Smes_g4_39	2719668	2724915	-	598.5	568
130245at33208	Complete	dd_Smes_g4_79	630828	635065	+	256.0	270
130256at33208	Complete	dd_Smes_g4_29	1497886	1500274	+	256.9	559
131349at33208	Duplicated	dd_Smes_g4_227	191739	195354	+	1260.9	903
131349at33208	Duplicated	dd_Smes_g4_215	51701	54716	-	1120.4	799
131848at33208	Complete	dd_Smes_g4_14	2011460	2021769	-	363.3	447
132087at33208	Complete	dd_Smes_g4_33	4267485	4275102	+	471.5	515
134492at33208	Complete	dd_Smes_g4_26	3919212	3930638	+	637.6	763
135294at33208	Complete	dd_Smes_g4_21	5253966	5269668	+	317.5	422
137383at33208	Complete	dd_Smes_g4_28	2805883	2827767	-	733.9	562
139188at33208	Complete	dd_Smes_g4_14	1870824	1893543	+	375.3	411
143619at33208	Complete	dd_Smes_g4_20	1730708	1741623	-	262.5	307
143997at33208	Complete	dd_Smes_g4_83	1096186	1097785	-	337.3	375
146671at33208	Complete	dd_Smes_g4_18	3404042	3408309	-	671.9	527
