# BUSCO version is: 5.3.2 
# The lineage dataset is: metazoa_odb10 (Creation date: 2021-02-17, number of genomes: 65, number of BUSCOs: 954)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length
5951at33208	Duplicated	smed_chr1	80268134	80275576	+	3739.4	2002
5951at33208	Duplicated	smed_chr1	80368218	80375673	-	3520.7	1935
9639at33208	Complete	smed_chr3	62625443	62669216	+	1606.3	1376
13816at33208	Complete	smed_chr2	16056433	16072812	-	616.4	713
14776at33208	Missing
16244at33208	Complete	smed_chr1	69169012	69175911	-	2207.4	1689
40200at33208	Fragmented	smed_chr3	112989715	112992240	-	273.3	252
45934at33208	Complete	smed_chr1	5867652	5891706	-	501.6	679
49474at33208	Complete	smed_chr1	195343463	195355983	-	640.8	721
50756at33208	Complete	smed_chr1	26794281	26797977	-	645.5	654
56573at33208	Duplicated	smed_chr1	50018747	50022198	+	839.5	885
56573at33208	Duplicated	smed_chr1	206433194	206435739	-	818.9	710
57158at33208	Complete	smed_chr1	24854580	24858924	-	1635.1	1035
63697at33208	Complete	smed_chr3	72743452	72748629	+	1731.1	1084
64435at33208	Fragmented	smed_chr3	34295810	34297375	+	92.6	170
65302at33208	Missing
66018at33208	Duplicated	smed_chr1	307856034	307860254	-	1160.0	857
66018at33208	Duplicated	smed_chr1	307743659	307747750	-	1011.6	794
75406at33208	Complete	smed_chr3	113208125	113210221	+	377.9	544
76852at33208	Fragmented	smed_chr1	213206886	213213885	+	408.0	406
84980at33208	Complete	smed_chr4	35462818	35465610	-	722.4	574
88053at33208	Fragmented	smed_chr3	117217276	117220130	+	130.5	116
92367at33208	Missing
99614at33208	Complete	smed_chr2	117670724	117697382	+	1043.4	876
99987at33208	Complete	smed_chr1	9850677	9853395	-	270.1	574
102804at33208	Complete	smed_chr1	83116017	83119989	-	655.8	648
103854at33208	Fragmented	smed_chr2	233578393	233585586	+	118.2	187
107151at33208	Complete	smed_chr2	215849666	215852443	+	976.1	780
107574at33208	Missing
108764at33208	Missing
109109at33208	Complete	smed_chr1	280395602	280400500	+	786.4	567
111730at33208	Complete	smed_chr3	84421469	84437820	-	698.5	631
111746at33208	Missing
114954at33208	Complete	smed_chr2	66372984	66395814	-	353.6	363
115878at33208	Complete	smed_chr2	8885235	8893684	+	244.5	229
118209at33208	Complete	smed_chr2	113050005	113069305	-	1463.5	854
119252at33208	Complete	smed_chr1	166110190	166112161	-	632.7	515
119591at33208	Complete	smed_chr2	104644624	104657319	+	1015.7	839
121127at33208	Missing
123923at33208	Complete	smed_chr3	88727108	88743845	+	258.2	397
124302at33208	Complete	smed_chr4	7183539	7190593	+	519.3	422
127766at33208	Complete	smed_chr2	28762871	28779620	+	605.9	531
129179at33208	Complete	smed_chr1	130457639	130462886	+	598.5	568
130245at33208	Complete	smed_chr2	136857291	136861528	-	256.0	270
130256at33208	Complete	smed_chr2	78840564	78842952	+	256.9	559
131349at33208	Complete	smed_chr1	243541053	243544668	+	1260.9	903
131848at33208	Complete	smed_chr3	95774892	95785201	+	363.3	447
132087at33208	Complete	smed_chr1	178636897	178644514	-	471.5	515
134492at33208	Complete	smed_chr1	253395534	253406960	+	637.6	763
135294at33208	Complete	smed_chr1	62362140	62377842	+	317.5	422
137383at33208	Complete	smed_chr2	56066594	56088478	-	733.9	562
139188at33208	Complete	smed_chr3	95903118	95925837	-	375.3	411
143619at33208	Complete	smed_chr3	55948621	55959536	-	262.5	307
143997at33208	Complete	smed_chr2	207363801	207365400	-	337.3	375
146671at33208	Complete	smed_chr4	39166751	39171018	-	671.9	527
147873at33208	Complete	smed_chr2	190174393	190176351	-	592.5	552
148067at33208	Missing
148325at33208	Complete	smed_chr2	138898390	138901069	+	225.8	276
152327at33208	Missing
152977at33208	Complete	smed_chr2	184748339	184750499	+	215.3	287
153034at33208	Complete	smed_chr1	187893128	187897358	+	510.2	500
157109at33208	Complete	smed_chr4	46255906	46256720	-	84.5	200
157138at33208	Missing
158845at33208	Fragmented	smed_chr1	146036207	146036833	-	90.3	121
158962at33208	Complete	smed_chr2	214060489	214107915	-	508.4	549
162821at33208	Complete	smed_chr1	283409148	283420924	-	555.0	432
164767at33208	Complete	smed_chr4	46878210	46880529	+	363.9	564
166097at33208	Complete	smed_chr4	44592293	44600050	+	708.7	491
168850at33208	Complete	smed_chr1	64838227	64857080	+	472.8	394
168924at33208	Complete	smed_chr4	23531446	23534997	-	285.3	221
169864at33208	Missing
172677at33208	Fragmented	smed_chr3	116994935	116995336	+	99.0	93
176247at33208	Complete	smed_chr1	182239219	182331371	+	223.6	205
177718at33208	Complete	smed_chr1	269662849	269664369	+	277.9	393
177858at33208	Complete	smed_chr1	263407279	263410396	-	846.5	587
178537at33208	Complete	smed_chr2	214031278	214035567	+	912.6	465
179485at33208	Complete	smed_chr1	229121169	229125860	+	463.4	363
180808at33208	Complete	smed_chr3	88772161	88791006	-	762.1	480
182834at33208	Complete	smed_chr1	222151153	222158082	-	277.6	316
184508at33208	Complete	smed_chr1	61541455	61543143	+	575.1	477
184717at33208	Complete	smed_chr3	61565631	61567574	-	801.9	505
186208at33208	Complete	smed_chr3	67195063	67202731	+	599.3	617
186707at33208	Missing
187280at33208	Complete	smed_chr3	2248061	2264625	-	537.1	423
189414at33208	Duplicated	smed_chr1	73288165	73289703	+	94.7	336
189414at33208	Duplicated	smed_chr2	10347394	10348911	-	92.3	350
190726at33208	Complete	smed_chr2	220064440	220066506	-	472.0	407
191938at33208	Missing
192250at33208	Duplicated	smed_chr2	164763062	164764795	+	290.7	308
192250at33208	Duplicated	smed_chr2	164652626	164653813	-	288.7	302
194754at33208	Complete	smed_chr2	239877811	239920926	-	1002.8	773
195986at33208	Complete	smed_chr4	8216079	8218385	-	517.0	590
196950at33208	Fragmented	smed_chr2	240519665	240522079	-	259.8	316
197549at33208	Complete	smed_chr1	130708300	130709805	+	124.7	374
197652at33208	Complete	smed_chr4	34977760	34979860	-	676.5	426
200997at33208	Complete	smed_chr1	5165461	5173006	-	467.3	472
201397at33208	Complete	smed_chr1	60830603	60842387	-	613.7	474
202545at33208	Complete	smed_chr2	159020868	159032714	+	416.3	375
203128at33208	Complete	smed_chr3	40211620	40219949	+	821.2	438
203698at33208	Missing
205220at33208	Missing
206786at33208	Complete	smed_chr4	35196796	35198446	-	348.6	373
206858at33208	Complete	smed_chr2	168518862	168521126	+	440.4	505
207599at33208	Complete	smed_chr1	55885268	55886758	-	423.8	377
208219at33208	Fragmented	smed_chr2	232904582	232905469	+	72.3	205
210614at33208	Complete	smed_chr1	159096857	159107924	+	196.1	375
212972at33208	Complete	smed_chr3	6492471	6493535	-	138.3	274
214788at33208	Complete	smed_chr1	267504013	267513920	-	286.9	309
215654at33208	Complete	smed_chr1	200062625	200066742	-	471.6	401
216257at33208	Missing
216563at33208	Fragmented	smed_chr2	20151642	20154202	+	49.7	98
218441at33208	Complete	smed_chr2	227159686	227160647	+	220.2	221
219795at33208	Complete	smed_chr2	105697644	105701759	-	225.3	349
219856at33208	Complete	smed_chr2	125535146	125537745	-	568.5	394
222489at33208	Complete	smed_chr3	117084159	117085490	+	541.9	349
223234at33208	Complete	smed_chr1	179478991	179480397	-	210.2	312
224280at33208	Complete	smed_chr1	60161963	60164126	+	716.8	439
226335at33208	Complete	smed_chr1	82666298	82671759	+	539.2	363
226941at33208	Complete	smed_chr2	178286993	178295185	-	490.7	380
227087at33208	Fragmented	smed_chr1	191270090	191272800	-	132.3	143
227453at33208	Missing
227979at33208	Complete	smed_chr2	138731353	138743221	-	348.2	402
231157at33208	Complete	smed_chr2	173339672	173361886	+	401.8	385
231700at33208	Complete	smed_chr2	222429062	222431684	-	187.3	354
234290at33208	Complete	smed_chr2	48900549	48907087	-	360.5	291
235149at33208	Complete	smed_chr3	114218452	114220833	+	238.8	360
235430at33208	Missing
235458at33208	Complete	smed_chr2	157709773	157714124	+	340.0	326
239016at33208	Duplicated	smed_chr1	172214816	172216512	+	193.1	352
239016at33208	Duplicated	smed_chr1	172168308	172170008	+	187.2	392
239016at33208	Duplicated	smed_chr1	172370975	172372639	+	182.6	389
239149at33208	Missing
239597at33208	Missing
240437at33208	Complete	smed_chr3	68350042	68351090	-	292.3	237
244863at33208	Complete	smed_chr4	41896117	41898411	+	329.4	535
245482at33208	Complete	smed_chr3	51265	52863	-	317.5	379
245567at33208	Complete	smed_chr2	97886667	97888804	-	351.9	434
246241at33208	Complete	smed_chr3	33144082	33145522	+	441.6	369
247183at33208	Complete	smed_chr3	50598538	50623528	-	764.8	586
247905at33208	Complete	smed_chr1	271646542	271648182	-	204.7	362
249486at33208	Complete	smed_chr1	253030714	253034045	+	287.9	347
251076at33208	Complete	smed_chr2	191439973	191448793	+	522.0	314
251577at33208	Fragmented	smed_chr1	298035762	298036178	-	67.0	136
255117at33208	Fragmented	smed_chr2	19350027	19359725	+	429.1	402
255242at33208	Fragmented	smed_chr3	110441654	110442739	+	172.2	154
255924at33208	Missing
257141at33208	Complete	smed_chr3	111608751	111621007	-	205.2	205
257339at33208	Complete	smed_chr1	12804150	12806016	-	239.1	311
259581at33208	Complete	smed_chr1	98502065	98503666	-	53.0	297
260752at33208	Complete	smed_chr4	41568365	41577866	-	226.4	349
261284at33208	Complete	smed_chr1	177268787	177276038	-	184.1	318
261614at33208	Missing
262757at33208	Complete	smed_chr1	331824882	331826650	-	247.4	294
266460at33208	Complete	smed_chr2	90771173	90773184	-	498.4	445
266469at33208	Missing
266808at33208	Complete	smed_chr2	203771491	203781319	-	478.8	320
267439at33208	Complete	smed_chr2	201259173	201260688	+	568.3	403
268134at33208	Complete	smed_chr1	42400248	42529432	-	222.2	207
268397at33208	Complete	smed_chr1	191408357	191519560	-	501.6	492
270594at33208	Complete	smed_chr1	179980999	179982337	+	218.3	347
271297at33208	Complete	smed_chr1	217312365	217328546	-	277.4	231
271742at33208	Complete	smed_chr3	70900031	70905857	-	540.7	396
272605at33208	Missing
273040at33208	Complete	smed_chr2	21401971	21403305	-	147.1	112
273367at33208	Fragmented	smed_chr3	104668032	104668232	+	32.9	40
273989at33208	Complete	smed_chr1	205102164	205104275	-	402.5	379
274044at33208	Fragmented	smed_chr2	14759758	14760626	-	255.4	240
274064at33208	Complete	smed_chr4	37697566	37698291	-	86.2	222
274769at33208	Complete	smed_chr1	80178102	80179553	+	437.5	379
274992at33208	Complete	smed_chr3	36105	38811	-	530.4	325
277935at33208	Fragmented	smed_chr2	192902611	192904914	-	200.0	317
278227at33208	Complete	smed_chr2	5809198	5811523	+	328.4	334
279631at33208	Complete	smed_chr2	4635932	4640045	-	449.5	569
279992at33208	Complete	smed_chr1	57968088	57970795	+	331.5	325
280914at33208	Missing
281304at33208	Complete	smed_chr1	267570559	267587478	-	246.1	326
281693at33208	Missing
283637at33208	Complete	smed_chr1	208459517	208460827	+	585.5	361
284059at33208	Complete	smed_chr1	1168567	1174367	+	314.9	272
285146at33208	Complete	smed_chr2	10438059	10441821	+	250.4	237
285902at33208	Fragmented	smed_chr3	101443026	101451023	+	200.3	212
285966at33208	Complete	smed_chr3	25347930	25385660	+	256.2	258
286553at33208	Complete	smed_chr3	59488906	59510338	-	196.7	273
289235at33208	Complete	smed_chr4	36036823	36039866	+	171.1	232
289928at33208	Complete	smed_chr1	13262951	13269788	-	280.1	287
291505at33208	Complete	smed_chr2	178038761	178041133	-	485.0	436
291875at33208	Missing
295556at33208	Missing
295775at33208	Complete	smed_chr1	254059360	254085046	-	247.4	239
300303at33208	Complete	smed_chr2	168962480	168964915	-	104.8	220
301572at33208	Complete	smed_chr1	176949164	176950525	-	400.3	369
302186at33208	Missing
302279at33208	Complete	smed_chr1	258734627	258738303	-	488.7	303
302921at33208	Missing
303117at33208	Missing
304388at33208	Missing
305260at33208	Complete	smed_chr2	212528946	212533688	-	475.7	334
306101at33208	Complete	smed_chr1	290806322	290823639	-	278.1	290
307109at33208	Complete	smed_chr1	294985761	294999044	+	444.4	342
308610at33208	Complete	smed_chr3	116223666	116225370	-	450.1	338
311438at33208	Missing
311758at33208	Duplicated	smed_chr4	23666804	23668453	-	436.5	467
311758at33208	Duplicated	smed_chr4	23160840	23162366	-	393.5	430
311761at33208	Missing
312577at33208	Complete	smed_chr2	16506659	16508136	+	157.9	211
313091at33208	Fragmented	smed_chr2	234697689	234699789	+	165.3	196
315044at33208	Duplicated	smed_chr1	212598946	212605111	+	374.7	334
315044at33208	Duplicated	smed_chr1	212747709	212753893	-	373.6	334
315393at33208	Complete	smed_chr1	271966510	272001805	-	482.8	329
317470at33208	Complete	smed_chr1	14671596	14674711	+	255.5	262
318483at33208	Complete	smed_chr1	107175487	107179975	+	318.7	267
318532at33208	Complete	smed_chr1	191335288	191336437	+	510.1	315
319574at33208	Duplicated	smed_chr1	34614495	34615533	-	264.9	236
319574at33208	Duplicated	smed_chr1	35166522	35167560	+	264.9	236
320390at33208	Complete	smed_chr1	246348897	246351107	-	244.3	400
321332at33208	Missing
323399at33208	Missing
323473at33208	Complete	smed_chr3	103364428	103370909	+	387.6	283
324249at33208	Complete	smed_chr1	328374888	328375766	+	118.4	239
325183at33208	Complete	smed_chr2	8195394	8197934	+	534.4	345
327301at33208	Missing
331112at33208	Complete	smed_chr2	51750144	51751732	-	528.2	390
331186at33208	Missing
332870at33208	Complete	smed_chr1	160914559	160915460	+	108.5	164
333062at33208	Complete	smed_chr3	719583	721577	+	409.1	307
333800at33208	Fragmented	smed_chr3	113363130	113366057	-	245.9	268
334272at33208	Missing
334331at33208	Duplicated	smed_chr3	63320741	63322270	-	437.0	442
334331at33208	Duplicated	smed_chr3	79049988	79051592	-	398.9	458
334336at33208	Complete	smed_chr3	17573560	17581844	+	513.4	363
334342at33208	Missing
334764at33208	Complete	smed_chr2	10256119	10262732	-	349.9	289
334820at33208	Complete	smed_chr1	179332281	179337355	-	334.1	300
335107at33208	Complete	smed_chr1	222049748	222050710	-	287.9	250
336647at33208	Missing
338191at33208	Complete	smed_chr1	266357792	266359756	-	510.2	512
338482at33208	Missing
339127at33208	Complete	smed_chr4	14279990	14288316	+	233.0	238
339319at33208	Fragmented	smed_chr3	12990243	12990491	+	58.9	75
340558at33208	Complete	smed_chr1	124216597	124217511	-	145.6	273
340577at33208	Complete	smed_chr4	44575619	44591725	-	414.6	447
344338at33208	Complete	smed_chr1	125906408	125907451	+	361.7	308
344346at33208	Fragmented	smed_chr2	224213248	224213769	-	53.0	117
344442at33208	Complete	smed_chr3	18420934	18422019	-	181.8	220
344581at33208	Complete	smed_chr4	17552871	17555054	+	251.3	215
344611at33208	Missing
345099at33208	Complete	smed_chr1	264410595	264413215	+	338.8	622
345959at33208	Complete	smed_chr1	272087275	272087844	-	64.6	176
346541at33208	Complete	smed_chr3	57136912	57162000	-	224.3	311
347600at33208	Complete	smed_chr1	113492547	113494074	+	370.3	301
348449at33208	Complete	smed_chr1	286707994	286717379	-	158.8	162
348544at33208	Duplicated	smed_chr4	14654796	14655895	+	280.9	300
348544at33208	Duplicated	smed_chr1	149732908	149740817	+	278.2	307
348544at33208	Duplicated	smed_chr1	150958235	150959521	-	278.1	304
348544at33208	Duplicated	smed_chr1	149603524	149604804	+	276.1	309
348761at33208	Missing
349064at33208	Complete	smed_chr2	141506243	141531710	+	319.6	270
349627at33208	Complete	smed_chr1	222115981	222117127	+	100.0	236
351226at33208	Missing
352600at33208	Duplicated	smed_chr2	15067945	15068982	-	446.6	295
352600at33208	Duplicated	smed_chr2	9445858	9446883	+	434.8	295
352854at33208	Complete	smed_chr3	95077182	95082742	-	321.2	280
353286at33208	Fragmented	smed_chr1	302598528	302602594	+	231.6	215
353768at33208	Fragmented	smed_chr2	75485037	75485981	+	226.0	241
354829at33208	Complete	smed_chr1	10402202	10404286	+	389.5	247
354949at33208	Fragmented	smed_chr1	240178378	240181414	+	92.5	103
355210at33208	Complete	smed_chr1	43154221	43155849	+	242.8	302
355739at33208	Complete	smed_chr2	42565400	42566275	+	183.5	235
356175at33208	Missing
356334at33208	Fragmented	smed_chr3	5839218	5845803	-	147.9	197
356503at33208	Complete	smed_chr1	72376473	72405304	-	309.8	249
357580at33208	Complete	smed_chr1	248293727	248295383	+	306.5	251
359075at33208	Complete	smed_chr1	23570419	23574557	+	296.5	335
359324at33208	Complete	smed_chr2	67313604	67314533	-	233.4	208
359369at33208	Missing
359532at33208	Missing
360379at33208	Missing
360753at33208	Duplicated	smed_chr1	138328479	138331699	-	260.3	209
360753at33208	Duplicated	smed_chr1	137897665	137900715	+	246.4	188
361100at33208	Complete	smed_chr2	29683256	29688066	-	246.2	269
361203at33208	Duplicated	smed_chr1	222710320	222711616	+	241.7	314
361203at33208	Duplicated	smed_chr1	222260032	222261316	+	225.3	206
361216at33208	Missing
363634at33208	Fragmented	smed_chr4	42569651	42571712	-	128.1	142
363840at33208	Missing
363851at33208	Complete	smed_chr3	2867023	2869556	-	262.0	300
364383at33208	Complete	smed_chr1	154695534	154822971	+	407.5	334
364694at33208	Complete	smed_chr1	241574679	241577966	-	585.5	576
365323at33208	Missing
365561at33208	Complete	smed_chr3	117772047	117773743	+	490.7	355
365691at33208	Fragmented	smed_chr3	116925455	116926420	-	101.7	152
366124at33208	Missing
366814at33208	Complete	smed_chr1	285187248	285191996	-	523.6	373
366936at33208	Complete	smed_chr1	24618038	24633522	-	422.8	215
367493at33208	Missing
367551at33208	Complete	smed_chr3	98623973	98625292	-	481.3	374
367596at33208	Complete	smed_chr1	164911563	164914082	-	410.1	517
367957at33208	Duplicated	smed_chr1	34597080	34601148	-	372.0	275
367957at33208	Duplicated	smed_chr1	35180936	35185003	+	372.0	275
368565at33208	Duplicated	smed_chr1	264436584	264438280	+	456.9	282
368565at33208	Duplicated	smed_chr1	264517356	264518875	+	454.7	273
368670at33208	Missing
368875at33208	Complete	smed_chr3	36120752	36122771	+	135.6	155
371241at33208	Complete	smed_chr3	71543207	71544384	+	159.3	143
371297at33208	Complete	smed_chr1	22353608	22354843	-	474.0	324
371526at33208	Complete	smed_chr1	216209885	216210991	+	427.9	235
372257at33208	Complete	smed_chr1	62728712	62732027	+	221.9	194
372707at33208	Complete	smed_chr2	125053163	125054148	-	285.8	220
373040at33208	Complete	smed_chr1	261406330	261407572	+	391.6	256
376982at33208	Duplicated	smed_chr1	89326634	89327563	-	450.4	251
376982at33208	Duplicated	smed_chr1	89227586	89228517	-	417.4	251
378033at33208	Complete	smed_chr4	7513695	7521008	-	241.1	255
378316at33208	Complete	smed_chr1	5834923	5846095	-	443.8	273
378768at33208	Complete	smed_chr1	24565867	24576226	+	411.5	256
378913at33208	Complete	smed_chr2	155698956	155711845	+	204.6	150
379076at33208	Fragmented	smed_chr3	8762614	8762850	-	56.6	74
379636at33208	Complete	smed_chr1	164791263	164792207	-	202.5	214
379771at33208	Complete	smed_chr4	18605287	18613649	-	206.1	250
380583at33208	Complete	smed_chr2	106971825	106973414	+	352.8	271
381303at33208	Missing
382000at33208	Complete	smed_chr1	88260287	88261309	-	117.6	237
382262at33208	Complete	smed_chr3	67325562	67326023	-	69.0	93
382750at33208	Duplicated	smed_chr1	94625652	94637652	-	354.4	317
382750at33208	Duplicated	smed_chr1	94919985	94935145	+	308.6	293
383313at33208	Complete	smed_chr1	291146837	291167063	-	250.7	261
384187at33208	Complete	smed_chr3	21440119	21441531	-	408.7	419
386666at33208	Fragmented	smed_chr2	97243563	97255895	-	25.5	91
387079at33208	Missing
387117at33208	Duplicated	smed_chr1	167587666	167593225	-	185.5	212
387117at33208	Duplicated	smed_chr1	165608695	165612685	-	164.0	212
387878at33208	Duplicated	smed_chr2	227534767	227537445	-	238.2	270
387878at33208	Duplicated	smed_chr2	227513842	227523277	+	233.3	268
