# BUSCO version is: 5.0.0 
# The lineage dataset is: metazoa_odb10 (Creation date: 2021-02-17, number of species: 65, number of BUSCOs: 954)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length
5951at33208	Complete	LG1	49257219	49277724	-	3826.6	1894
9639at33208	Complete	LG2	17403756	17439647	-	1354.0	1655
13816at33208	Complete	LG1	48911369	48941179	+	958.5	1201
14776at33208	Missing
16244at33208	Complete	LG1	14450297	14469817	+	2092.2	1612
40200at33208	Complete	LG1	8026896	8035995	-	429.3	488
45934at33208	Missing
49474at33208	Complete	LG5	3663769	3679002	-	920.4	1000
50756at33208	Complete	LG1	11749115	11779083	-	946.7	963
56573at33208	Complete	LG1	376857	382518	-	989.6	915
57158at33208	Complete	LG3	17785332	17791383	-	1738.2	1036
63697at33208	Complete	LG1	75199640	75204883	+	1685.6	888
64435at33208	Fragmented	LG2	19023418	19027183	-	67.2	170
65302at33208	Missing
66018at33208	Complete	LG1	25296744	25304292	+	1180.1	789
75406at33208	Complete	LG1	54367159	54369083	-	339.9	336
76852at33208	Complete	LG5	12190050	12197703	-	433.5	688
84980at33208	Complete	LG4	1589833	1594929	+	587.1	516
88053at33208	Complete	LG1	8713242	8734235	-	202.6	441
92367at33208	Missing
99614at33208	Missing
99987at33208	Complete	LG1	5112846	5118484	+	371.8	619
102804at33208	Complete	LG5	3946515	3956687	+	885.6	843
103854at33208	Complete	LG1	57214071	57219818	-	179.3	382
107151at33208	Complete	LG3	18869347	18875460	+	1235.8	762
107574at33208	Complete	LG1	24554497	24568693	+	97.6	377
108764at33208	Missing
109109at33208	Complete	LG3	20986666	20992318	+	941.2	572
111730at33208	Complete	LG1	32378687	32383482	+	452.8	581
111746at33208	Missing
114954at33208	Missing
115878at33208	Fragmented	LG1	36372908	36375498	-	268.0	218
118209at33208	Complete	LG1	36471377	36475033	-	1516.3	879
119252at33208	Complete	LG1	75932558	75937173	-	722.4	509
119591at33208	Complete	LG1	30718970	30727669	+	788.5	928
121127at33208	Missing
123923at33208	Complete	LG1	392178	401459	+	164.9	390
124302at33208	Complete	LG1	55454812	55468896	-	487.7	616
127766at33208	Complete	LG1:4496-5763290	5754179	5763290	-	504.8	538
129179at33208	Complete	LG1	49730751	49741361	+	576.7	561
130245at33208	Complete	LG3	2116262	2120603	+	242.2	306
130256at33208	Complete	LG1	7642766	7647688	-	271.8	406
131349at33208	Complete	LG1	62377490	62383629	-	1171.1	906
131848at33208	Missing
132087at33208	Complete	LG4	17562921	17569580	+	476.3	653
134492at33208	Complete	LG1	62996007	62999903	-	869.4	866
135294at33208	Fragmented	LG3	18441986	18450890	-	79.5	231
137383at33208	Complete	LG1	24221299	24229851	+	658.3	600
139188at33208	Complete	LG1	12264352	12270794	-	316.2	543
143619at33208	Complete	LG1	56025289	56027767	+	182.3	216
143997at33208	Complete	LG1	5608539	5612210	+	331.3	313
146671at33208	Complete	LG1	65224741	65229902	+	571.2	532
147873at33208	Complete	LG1	26912282	26915996	-	835.8	544
148067at33208	Fragmented	LG1	25338175	25342190	-	161.2	357
148325at33208	Complete	LG1	76602871	76623040	-	199.5	182
152327at33208	Missing
152977at33208	Complete	LG1	45111909	45123990	-	306.3	476
153034at33208	Complete	LG3	21528178	21532904	+	650.7	504
157109at33208	Complete	LG5	10867815	10868471	+	93.5	164
157138at33208	Missing
158845at33208	Complete	LG1	21908877	21919797	-	118.9	356
158962at33208	Complete	LG1	34120845	34127570	+	468.9	536
162821at33208	Complete	LG1	37413771	37423871	-	445.7	394
164767at33208	Complete	LG6	6082538	6101086	+	375.0	621
166097at33208	Missing
168850at33208	Complete	LG1	33543455	33560970	-	478.8	448
168924at33208	Complete	LG4	10457269	10460802	+	354.2	390
169864at33208	Complete	LG1	67303555	67307617	-	292.5	467
172677at33208	Missing
176247at33208	Complete	LG1	7856156	7867444	+	317.7	315
177718at33208	Complete	LG1	67424191	67427147	+	310.9	354
177858at33208	Complete	LG1	48068430	48082037	+	794.5	553
178537at33208	Complete	LG1	12340100	12342585	+	882.9	469
179485at33208	Complete	LG1	77525472	77534170	+	385.6	478
180808at33208	Missing
182834at33208	Complete	LG3	21362889	21377993	-	317.0	403
184508at33208	Complete	LG7	2388675	2397520	-	398.1	499
184717at33208	Complete	LG1	42649495	42656283	+	798.2	487
186208at33208	Complete	LG1	52375147	52382765	+	843.9	702
186707at33208	Missing
187280at33208	Missing
189414at33208	Complete	LG4	5445551	5447554	+	105.3	347
190726at33208	Complete	LG5	9192391	9196334	+	395.3	344
191938at33208	Missing
192250at33208	Complete	LG1	54604638	54606916	+	362.0	311
194754at33208	Missing
195986at33208	Complete	LG5	14315384	14322003	+	746.4	627
196950at33208	Complete	LG4	11091404	11100065	-	267.8	471
197549at33208	Fragmented	LG1	49868440	49869192	-	61.8	181
197652at33208	Complete	LG1	45351007	45356617	+	674.0	435
200997at33208	Complete	LG1	10738272	10742444	+	429.6	451
201397at33208	Complete	LG7	4176753	4183097	-	514.9	434
202545at33208	Complete	LG1	32687572	32692414	+	428.2	394
203128at33208	Complete	LG1	78084809	78091310	+	796.6	444
203698at33208	Missing
205220at33208	Missing
206786at33208	Complete	LG4	1653188	1657321	+	332.1	328
206858at33208	Missing
207599at33208	Complete	LG1	48424987	48444033	-	335.8	298
208219at33208	Fragmented	LG1	73194870	73196024	+	68.6	179
210614at33208	Missing
212972at33208	Complete	LG1	27454320	27457016	+	297.1	309
214788at33208	Complete	LG1	51018355	51022527	+	275.2	460
215654at33208	Complete	LG4	886729	890450	+	518.8	389
216257at33208	Missing
216563at33208	Fragmented	LG1	73074965	73078682	+	84.3	135
218441at33208	Complete	LG1	5148684	5152090	-	192.3	241
219795at33208	Complete	LG1	44825135	44831470	-	181.7	363
219856at33208	Complete	LG3	18334754	18338189	+	432.4	332
222489at33208	Complete	LG1	20311750	20314519	+	561.4	335
223234at33208	Complete	LG3	19292943	19294613	-	107.3	330
224280at33208	Complete	LG6	6018790	6049892	-	683.3	436
226335at33208	Missing
226941at33208	Complete	LG4	17615513	17624684	-	403.9	400
227087at33208	Fragmented	LG1	67265114	67274227	-	116.8	211
227453at33208	Complete	LG3	23391851	23395374	+	115.9	291
