seqnames	start	end	width	strand	V4	V5	V6	annotation	geneChr	geneStart	geneEnd	geneLength	geneStrand	geneId	transcriptId	distanceToTSS
chr1_h1	688421	688421	1	*	wt_H3K4me3_peak_15	280	.	Promoter (<=1kb)	1	688130	694773	6644	1	h1SMcG0000021	h1SMcT0000021.1	291
chr1_h1	868204	868204	1	*	wt_H3K4me3_peak_19	73	.	Promoter (2-3kb)	1	843748	870917	27170	2	h1SMcG0000026	h1SMcT0000026.4	2713
chr1_h1	932216	932216	1	*	wt_H3K4me3_peak_23	50	.	Distal Intergenic	1	937599	939544	1946	2	h1SMcG0000027	h1SMcT0000027.1	7328
chr1_h1	1292937	1292937	1	*	wt_H3K4me3_peak_35	9209	.	Promoter (<=1kb)	1	1234060	1292697	58638	2	h1SMcG0000036	h1SMcT0000036.6	-240
chr1_h1	1952690	1952690	1	*	wt_H3K4me3_peak_51	994	.	Promoter (<=1kb)	1	1952362	1953422	1061	1	h1SMcG0000058	h1SMcT0000058.1	328
chr1_h1	2155576	2155576	1	*	wt_H3K4me3_peak_52	857	.	Promoter (<=1kb)	1	2099378	2156536	57159	2	h1SMnG0000073	h1SMnT0000073.1	960
chr1_h1	2286334	2286334	1	*	wt_H3K4me3_peak_57	55	.	Distal Intergenic	1	2290601	2292410	1810	1	h1SMcG0000066	h1SMcT0000066.1	-4267
chr1_h1	2290970	2290970	1	*	wt_H3K4me3_peak_58	1905	.	Promoter (<=1kb)	1	2290645	2292410	1766	1	h1SMcG0000066	h1SMcT0000066.2	325
chr1_h1	2294097	2294097	1	*	wt_H3K4me3_peak_59	99	.	Distal Intergenic	1	2290645	2292410	1766	1	h1SMcG0000066	h1SMcT0000066.2	3452
chr1_h1	2582905	2582905	1	*	wt_H3K4me3_peak_71	60	.	Promoter (1-2kb)	1	2581843	2589962	8120	1	h1SMnG0000099	h1SMnT0000099.4	1062
chr1_h1	2758373	2758373	1	*	wt_H3K4me3_peak_76	1484	.	Promoter (<=1kb)	1	2757483	2759017	1535	1	h1SMcG0000083	h1SMcT0000083.1	890
chr1_h1	2855643	2855643	1	*	wt_H3K4me3_peak_79	7145	.	Promoter (<=1kb)	1	2855279	2928590	73312	1	h1SMcG0000090	h1SMcT0000090.7	364
chr1_h1	3025571	3025571	1	*	wt_H3K4me3_peak_85	35	.	Promoter (<=1kb)	1	3026047	3031942	5896	1	h1SMcG0000090	h1SMcT0000090.17	-476
chr1_h1	3632535	3632535	1	*	wt_H3K4me3_peak_103	1572	.	Distal Intergenic	1	3622688	3626793	4106	2	h1SMcG0000105	h1SMcT0000105.4	-5742
