# BUSCO version is: 5.0.0 
# The lineage dataset is: metazoa_odb10 (Creation date: 2021-02-17, number of species: 65, number of BUSCOs: 954)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length
5951at33208	Complete	chr3	19741118	19750158	-	3726.6	2000
9639at33208	Complete	chr2	433469146	433535144	+	1581.8	1435
13816at33208	Complete	chr1	589823049	589850313	+	612.1	745
14776at33208	Missing
16244at33208	Complete	chr2	163639119	163645997	-	2190.6	1724
40200at33208	Complete	chr1	8178709	8190724	+	428.1	370
45934at33208	Complete	chr3	156085263	156122115	+	495.5	728
49474at33208	Complete	chr1	396397584	396399809	+	199.2	502
50756at33208	Complete	chr2	212535568	212551126	-	780.2	877
56573at33208	Duplicated	chr2	38700301	38706399	-	832.0	889
56573at33208	Duplicated	chr2	237441259	237443605	+	794.6	675
57158at33208	Complete	chr2	216390295	216396970	-	1636.6	1035
63697at33208	Complete	chr2	447879412	447891705	+	1722.9	1033
64435at33208	Fragmented	chr1	107053348	107053836	+	78.7	135
65302at33208	Missing
66018at33208	Complete	chr1	175007640	175011887	-	1161.5	860
75406at33208	Complete	chr1	7832379	7834667	-	427.1	590
76852at33208	Missing
84980at33208	Complete	chr2	281638503	281641295	-	720.5	574
88053at33208	Missing
92367at33208	Missing
99614at33208	Complete	chr1	177402458	177421638	+	1014.0	770
99987at33208	Complete	chr3	147872513	147877326	-	300.3	548
102804at33208	Complete	chr3	26580617	26588250	+	647.6	715
103854at33208	Fragmented	chr1	397880829	397885750	-	127.8	187
107151at33208	Complete	chr1	499651976	499654762	-	975.5	779
107574at33208	Fragmented	chr1	381193232	381193866	-	95.5	158
108764at33208	Missing
109109at33208	Duplicated	chr2	75770135	75795260	-	794.0	568
109109at33208	Duplicated	chr2	78530985	78533120	+	759.5	569
111730at33208	Complete	chr2	409652469	409667170	-	668.5	609
111746at33208	Missing
114954at33208	Complete	chr1	376570448	376633106	-	369.0	362
115878at33208	Complete	chr1	601961469	601969290	-	241.8	229
118209at33208	Duplicated	chr1	216944396	216958528	+	1461.8	858
118209at33208	Duplicated	chr1	519513540	519523579	-	1417.7	854
119252at33208	Complete	chr2	235638656	235640630	+	632.9	515
119591at33208	Complete	chr1	470492784	470526462	+	1086.8	987
121127at33208	Missing
123923at33208	Complete	chr2	406920011	406961718	-	189.0	319
124302at33208	Complete	chr2	342054745	342066904	-	503.5	451
127766at33208	Complete	chr1	567840646	567861094	+	594.1	516
129179at33208	Complete	chr3	107077243	107085966	+	585.5	572
130245at33208	Complete	chr1	237343199	237344891	+	305.3	308
130256at33208	Duplicated	chr1	207915718	207918152	+	268.3	582
130256at33208	Duplicated	chr1	210420066	210422089	-	259.1	484
131349at33208	Complete	chr2	151141891	151145517	-	1252.7	903
131848at33208	Complete	chr1	66012194	66022900	-	362.9	456
132087at33208	Complete	chr2	167375055	167470666	-	454.9	629
134492at33208	Complete	chr2	165571600	165608593	+	636.8	764
135294at33208	Complete	chr3	145076461	145080054	-	316.1	447
137383at33208	Complete	chr1	297695088	297730108	-	819.2	622
139188at33208	Complete	chr1	65675942	65707915	+	369.8	449
143619at33208	Complete	chr2	422770114	422789877	-	211.2	251
143997at33208	Complete	chr1	152670670	152675124	-	342.4	374
146671at33208	Complete	chr2	297418655	297426219	-	659.1	489
147873at33208	Duplicated	chr1	553912544	553914523	-	603.5	552
147873at33208	Duplicated	chr1	561021925	561023904	+	603.5	552
148067at33208	Fragmented	chr2	73556139	73557102	-	74.9	216
148325at33208	Complete	chr1	284066016	284072718	-	213.7	248
152327at33208	Missing
152977at33208	Complete	chr1	564530928	564542035	-	244.3	291
153034at33208	Complete	chr2	256258417	256268179	+	516.7	500
157109at33208	Complete	chr2	374340923	374341772	+	87.3	186
157138at33208	Missing
158845at33208	Complete	chr3	65209342	65216409	-	184.7	327
158962at33208	Complete	chr1	501928285	501979541	+	515.3	497
162821at33208	Complete	chr2	72072282	72090327	-	553.1	429
164767at33208	Complete	chr2	368342289	368345685	-	386.6	643
166097at33208	Complete	chr2	393619816	393642665	-	702.9	491
168850at33208	Complete	chr3	139656253	139684647	-	479.0	405
168924at33208	Complete	scaffold_291	4891	13910	+	335.5	358
169864at33208	Missing
172677at33208	Fragmented	chr1	458526	458909	+	104.7	95
176247at33208	Complete	chr1	196171692	196181292	-	302.9	280
177718at33208	Complete	chr2	94897307	94898764	+	279.2	392
177858at33208	Complete	chr2	102985752	102996875	+	859.4	588
178537at33208	Complete	chr1	502025837	502029459	-	899.1	465
179485at33208	Complete	chr2	247746794	247750267	-	457.1	356
180808at33208	Complete	chr2	406881526	406901876	+	733.5	480
182834at33208	Complete	chr2	197676520	197692267	-	303.4	373
184508at33208	Complete	chr2	22894036	22895944	-	567.0	467
184717at33208	Complete	chr2	432106163	432108138	-	798.9	512
186208at33208	Complete	chr2	440577118	440587609	+	595.2	567
186707at33208	Missing
187280at33208	Complete	chr1	81956176	82114293	+	537.7	457
189414at33208	Complete	chr1	598663438	598664967	-	93.0	345
190726at33208	Complete	chr1	491805121	491807054	+	466.5	408
191938at33208	Missing
192250at33208	Duplicated	chr1	257782876	257784207	+	295.7	308
192250at33208	Duplicated	chr1	257750907	257752229	+	295.6	308
