# BUSCO version is: 5.0.0 
# The lineage dataset is: metazoa_odb10 (Creation date: 2021-02-17, number of species: 65, number of BUSCOs: 954)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length
5951at33208	Complete	chr4	37498327	37506494	+	3732.0	2001
9639at33208	Complete	chr2	42745213	42780631	+	1628.6	1457
13816at33208	Complete	chr1	251895897	251925534	+	1223.1	1316
14776at33208	Missing
16244at33208	Complete	chr4	54296791	54303549	-	2183.8	1645
40200at33208	Fragmented	chr2	182079275	182082295	-	334.4	312
45934at33208	Complete	chr4	2927157	2942931	-	500.5	618
49474at33208	Complete	chr3	58188135	58197233	-	578.2	609
50756at33208	Complete	chr3	131210444	131217672	+	786.4	746
56573at33208	Duplicated	chr3	88403238	88407288	-	845.3	824
56573at33208	Duplicated	manual_scaffold_40	392224	396274	+	845.3	824
56573at33208	Duplicated	chr3	22274253	22277692	-	833.1	889
57158at33208	Complete	chr3	129222007	129226100	+	1639.1	1035
63697at33208	Complete	chr2	1387029	1392360	-	1731.1	1084
64435at33208	Complete	chr2	14332325	14333998	-	94.0	225
65302at33208	Missing
66018at33208	Complete	chr4	25267148	25271368	+	1160.1	839
75406at33208	Complete	chr2	182237632	182239898	+	387.2	601
76852at33208	Fragmented	chr4	86061896	86076779	-	390.6	352
84980at33208	Complete	chr2	87298896	87301688	-	721.8	576
88053at33208	Fragmented	chr2	36123851	36240857	+	125.4	110
92367at33208	Missing
99614at33208	Complete	chr1	112051444	112067681	+	1012.8	909
99987at33208	Complete	chr4	5982776	5986637	+	318.1	650
102804at33208	Complete	chr4	35541566	35545862	+	640.4	648
103854at33208	Fragmented	chr1	22950550	22955254	-	126.9	185
107151at33208	Complete	chr1	86180623	86183391	+	979.8	780
107574at33208	Fragmented	chr1	240490542	240491195	-	96.6	158
108764at33208	Missing
109109at33208	Duplicated	chr3	40422190	40426378	-	796.4	567
109109at33208	Duplicated	chr3	42315587	42317650	+	749.6	563
111730at33208	Complete	chr2	112252682	112263040	+	678.7	613
111746at33208	Missing
114954at33208	Complete	chr1	224369784	224406655	+	369.4	363
115878at33208	Complete	chr1	7279140	7286427	+	229.5	229
118209at33208	Duplicated	chr1	126262938	126278372	-	1464.8	865
118209at33208	Duplicated	chr1	72851311	72861896	+	1397.9	873
119252at33208	Complete	chr3	110657778	110659745	+	643.3	517
119591at33208	Complete	chr1	194514430	194541076	+	1007.9	895
121127at33208	Missing
123923at33208	Complete	chr2	108727710	108754942	-	258.8	397
124302at33208	Complete	chr2	140600596	140610421	+	583.5	388
127766at33208	Complete	chr1	33982150	33996175	-	585.0	532
129179at33208	Complete	chr4	46498977	46503272	+	586.3	551
130245at33208	Complete	chr1	91866475	91871508	-	256.2	269
130256at33208	Complete	chr1	96494561	96496947	-	270.8	533
131349at33208	Complete	chr3	128995900	128999526	+	1261.7	907
131848at33208	Complete	chr2	102394252	102418738	-	359.6	439
132087at33208	Complete	chr3	61097939	61106721	-	422.1	491
134492at33208	Complete	chr3	74532926	74539978	+	637.7	763
135294at33208	Complete	chr4	7289501	7315396	+	322.4	425
137383at33208	Complete	chr1	169455260	169482719	+	802.7	608
139188at33208	Complete	chr2	101898076	101914193	+	336.1	420
143619at33208	Complete	chr2	34691428	34701837	-	261.1	315
143997at33208	Complete	chr4	22425014	22428649	-	339.7	375
146671at33208	Complete	chr2	73346997	73353928	-	703.1	544
147873at33208	Complete	chr1	235996800	235998755	+	578.2	528
148067at33208	Fragmented	chr3	37432276	37433324	+	93.3	225
148325at33208	Complete	chr1	159243834	159248481	+	149.8	220
152327at33208	Missing
152977at33208	Fragmented	chr1	238382652	238384464	-	219.2	270
153034at33208	Complete	chr3	126627094	126633097	+	491.8	470
157109at33208	Complete	chr2	100531610	100532419	-	92.4	187
157138at33208	Missing
158845at33208	Fragmented	chr4	71652491	71653289	-	116.6	173
158962at33208	Complete	chr1	84289193	84325030	-	534.2	542
162821at33208	Complete	chr3	38161708	38182836	+	554.9	395
164767at33208	Complete	chr2	13403051	13405293	+	372.7	572
166097at33208	Complete	chr2	96140560	96168512	+	665.3	467
168850at33208	Complete	chr4	9171461	9183123	-	470.4	394
168924at33208	Complete	chr2	78236726	78242077	-	301.1	244
169864at33208	Missing
172677at33208	Fragmented	chr2	187033576	187033986	+	104.4	91
176247at33208	Complete	chr4	18150227	18166792	-	244.2	226
177718at33208	Complete	chr3	119779032	119780489	+	282.8	392
177858at33208	Complete	chr3	86073664	86081562	-	863.8	588
178537at33208	Complete	chr1	84266286	84269472	+	901.8	465
179485at33208	Complete	chr3	101903809	101907968	+	462.7	365
180808at33208	Complete	chr2	108699456	108718138	+	750.8	479
182834at33208	Complete	chr3	66262622	66273610	+	291.5	343
184508at33208	Complete	chr3	12815515	12817518	-	571.6	558
184717at33208	Complete	chr2	38116494	38118445	+	801.0	506
186208at33208	Complete	chr2	3538696	3544499	+	640.7	637
186707at33208	Missing
187280at33208	Complete	chr2	47644987	47680919	+	533.0	476
189414at33208	Duplicated	chr3	32644332	32645873	-	86.1	344
189414at33208	Duplicated	chr1	256902837	256904384	+	73.5	339
190726at33208	Complete	chr1	188735554	188737483	+	470.9	407
191938at33208	Missing
192250at33208	Complete	chr1	203734039	203735808	+	293.3	308
194754at33208	Complete	chr1	222731451	222775924	+	1013.3	732
195986at33208	Complete	chr2	142148141	142150459	-	510.2	545
196950at33208	Fragmented	chr1	222152794	222155336	+	258.7	320
197549at33208	Complete	chr4	46582869	46584224	+	131.8	354
197652at33208	Complete	chr2	86826134	86827810	-	676.1	426
200997at33208	Complete	chr4	2654453	2659702	-	461.0	471
201397at33208	Complete	chr3	13496978	13510247	+	613.7	474
202545at33208	Complete	chr1	172292392	172310673	+	427.0	377
203128at33208	Complete	chr2	21630548	21634493	-	831.2	438
203698at33208	Missing
205220at33208	Missing
206786at33208	Complete	chr2	86963479	86965185	-	351.3	369
206858at33208	Complete	chr1	200694199	200696468	-	442.7	505
207599at33208	Complete	chr3	17510658	17512151	+	422.2	384
208219at33208	Complete	chr1	22277295	22278272	+	74.5	289
210614at33208	Complete	chr4	72773895	72800467	-	242.3	415
212972at33208	Fragmented	chr2	68637230	68638687	-	111.2	127
214788at33208	Complete	chr3	118263454	118273637	-	276.2	309
215654at33208	Complete	chr3	138082124	138085989	-	464.2	399
216257at33208	Missing
216563at33208	Fragmented	chr1	25173329	25179480	+	56.6	100
218441at33208	Complete	chr1	15437862	15438823	+	215.9	258
219795at33208	Fragmented	chr1	123480693	123481117	+	104.5	108
219856at33208	Complete	chr1	121079935	121083832	+	574.3	394
222489at33208	Complete	chr2	187142123	187143454	+	542.9	353
223234at33208	Complete	chr3	64850330	64851736	-	213.3	315
224280at33208	Complete	chr3	14407663	14410366	+	716.5	439
226335at33208	Complete	chr4	35789452	35793374	-	527.4	362
226941at33208	Complete	chr1	212628261	212634879	-	485.9	381
227087at33208	Fragmented	chr3	128287441	128289160	-	130.9	143
227453at33208	Missing
