# BUSCO version is: 5.0.0 
# The lineage dataset is: metazoa_odb10 (Creation date: 2021-02-17, number of species: 65, number of BUSCOs: 954)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length
5951at33208	Complete	manual_scaffold_1	132444114	132454258	-	3718.2	2000
9639at33208	Complete	manual_scaffold_4	52346309	52443149	-	1587.6	1422
13816at33208	Complete	manual_scaffold_3	203977158	203996864	+	600.6	726
14776at33208	Missing
16244at33208	Complete	manual_scaffold_2	211602528	211609379	-	2171.4	1681
40200at33208	Fragmented	manual_scaffold_1	99977865	100014925	-	323.3	344
45934at33208	Complete	manual_scaffold_1	397559243	397587659	-	462.4	815
49474at33208	Fragmented	manual_scaffold_1	549734162	549735436	-	192.7	333
50756at33208	Complete	manual_scaffold_2	96769051	96790080	+	825.2	785
56573at33208	Duplicated	manual_scaffold_2	281331802	281335200	-	841.3	826
56573at33208	Duplicated	manual_scaffold_2	459425641	459434154	-	843.4	888
57158at33208	Complete	manual_scaffold_2	279356417	279364117	+	1636.4	1035
63697at33208	Complete	manual_scaffold_4	75781344	75794912	+	1724.7	986
64435at33208	Complete	manual_scaffold_1	175104624	175105577	+	93.6	222
65302at33208	Missing
66018at33208	Complete	manual_scaffold_1	227223969	227228165	+	1159.6	868
75406at33208	Complete	manual_scaffold_1	100360890	100363180	+	396.5	604
76852at33208	Fragmented	manual_scaffold_1	387549493	387567393	-	417.7	406
84980at33208	Complete	manual_scaffold_2	361125561	361128353	-	724.0	575
88053at33208	Complete	manual_scaffold_1	112643922	112653463	+	221.5	319
92367at33208	Missing
99614at33208	Complete	manual_scaffold_1	493419863	493451050	-	998.8	776
99987at33208	Complete	manual_scaffold_1	47594100	47596835	+	247.8	535
102804at33208	Complete	manual_scaffold_1	139517313	139529338	-	626.6	561
103854at33208	Fragmented	manual_scaffold_1	547528673	547535337	+	125.8	187
107151at33208	Complete	manual_scaffold_1	590154181	590156955	+	973.2	779
107574at33208	Missing
108764at33208	Missing
109109at33208	Duplicated	manual_scaffold_2	55160483	55162465	-	762.8	554
109109at33208	Duplicated	manual_scaffold_2	58405645	58416705	+	793.3	564
111730at33208	Complete	manual_scaffold_4	28263502	28287237	+	684.6	621
111746at33208	Missing
114954at33208	Complete	manual_scaffold_1	478778146	478825192	-	359.9	362
115878at33208	Complete	manual_scaffold_3	219808376	219816878	-	242.5	230
118209at33208	Duplicated	manual_scaffold_3	114374293	114389416	-	1404.0	854
118209at33208	Duplicated	manual_scaffold_1	441605682	441630833	+	1462.3	865
119252at33208	Complete	manual_scaffold_2	283311964	283313950	-	634.2	514
119591at33208	Complete	manual_scaffold_3	55969599	56008711	-	980.0	987
121127at33208	Missing
123923at33208	Complete	manual_scaffold_4	21031640	21089234	-	252.4	401
124302at33208	Complete	manual_scaffold_2	140221628	140238505	+	525.0	430
127766at33208	Complete	manual_scaffold_3	131555375	131578226	-	624.0	531
129179at33208	Complete	manual_scaffold_1	235965522	235981727	+	584.4	564
130245at33208	Complete	manual_scaffold_1	431668000	431669676	+	296.6	362
130256at33208	Complete	manual_scaffold_1	409557693	409560173	-	247.8	539
131349at33208	Complete	manual_scaffold_2	232072803	232076243	-	1239.9	872
131848at33208	Complete	manual_scaffold_1	313996862	314028656	-	369.7	476
132087at33208	Duplicated	manual_scaffold_4	22488439	22490325	-	500.0	531
132087at33208	Duplicated	manual_scaffold_3	28132651	28134621	+	500.5	532
132087at33208	Duplicated	manual_scaffold_3	61157027	61158823	+	502.7	532
132087at33208	Duplicated	manual_scaffold_1	48417423	48419393	+	505.3	532
132087at33208	Duplicated	manual_scaffold_3	94022633	94024519	-	507.9	533
132087at33208	Duplicated	manual_scaffold_1	532499431	532502430	-	535.8	691
132087at33208	Duplicated	manual_scaffold_2	427559315	427562486	+	566.3	742
132087at33208	Duplicated	manual_scaffold_3	92480465	92483638	-	573.3	756
132087at33208	Duplicated	manual_scaffold_2	346343890	346360282	-	577.1	741
132087at33208	Duplicated	manual_scaffold_2	56821936	56825112	-	578.0	715
132087at33208	Duplicated	manual_scaffold_2	328183179	328186364	-	586.5	707
134492at33208	Complete	manual_scaffold_2	212158109	212209823	+	597.1	703
135294at33208	Complete	manual_scaffold_1	43655887	43667242	+	321.4	468
137383at33208	Complete	manual_scaffold_3	83473458	83517132	+	784.6	626
139188at33208	Complete	manual_scaffold_1	313614528	313645460	+	410.6	413
143619at33208	Complete	manual_scaffold_4	51530244	51560854	-	209.1	250
143997at33208	Complete	manual_scaffold_1	152059346	152063939	+	331.2	366
146671at33208	Complete	manual_scaffold_2	374606866	374613719	-	683.6	493
147873at33208	Complete	manual_scaffold_3	139748652	139750598	-	603.6	566
148067at33208	Fragmented	manual_scaffold_2	65016391	65017389	-	74.1	186
148325at33208	Complete	manual_scaffold_1	570847707	570851460	+	221.0	268
152327at33208	Missing
152977at33208	Complete	manual_scaffold_3	135477352	135497794	+	231.1	290
153034at33208	Complete	manual_scaffold_2	384442475	384456483	-	474.1	470
157109at33208	Missing
157138at33208	Missing
158845at33208	Fragmented	manual_scaffold_1	201740119	201740876	+	120.7	170
158962at33208	Complete	manual_scaffold_3	91652687	91691153	+	517.1	549
162821at33208	Complete	manual_scaffold_2	63413793	63444393	-	555.6	399
164767at33208	Complete	manual_scaffold_2	269900735	269903552	+	371.5	549
166097at33208	Complete	scaffold_289	86	25403	+	693.3	491
168850at33208	Complete	manual_scaffold_1	36136303	36166873	-	440.4	391
168924at33208	Complete	manual_scaffold_2	7297972	7303046	+	286.9	221
169864at33208	Missing
172677at33208	Fragmented	manual_scaffold_1	111884392	111884775	+	110.6	97
176247at33208	Complete	manual_scaffold_1	8295571	8309717	+	293.9	294
177718at33208	Complete	manual_scaffold_2	324893061	324894518	-	283.5	392
177858at33208	Complete	manual_scaffold_2	103716007	103727341	+	794.0	557
178537at33208	Complete	manual_scaffold_3	91809659	91816515	-	919.6	465
179485at33208	Complete	manual_scaffold_2	265323316	265327901	+	464.6	364
180808at33208	Complete	manual_scaffold_4	20977398	20998816	+	750.8	479
182834at33208	Complete	manual_scaffold_2	299971092	299991164	-	302.1	399
184508at33208	Complete	manual_scaffold_2	203430252	203432052	-	564.0	443
184717at33208	Complete	manual_scaffold_4	54130678	54135974	+	798.9	506
186208at33208	Complete	manual_scaffold_4	69743052	69756609	+	643.6	703
186707at33208	Missing
187280at33208	Duplicated	manual_scaffold_1	331108869	331155661	+	507.9	457
187280at33208	Duplicated	manual_scaffold_1	330734629	330765932	+	531.3	437
189414at33208	Complete	manual_scaffold_3	216284887	216286476	+	94.9	344
190726at33208	Complete	manual_scaffold_1	601297746	601299579	-	466.8	407
191938at33208	Missing
192250at33208	Complete	manual_scaffold_4	27613611	27615407	-	293.2	308
194754at33208	Complete	manual_scaffold_1	501834581	501900675	+	1031.1	771
195986at33208	Complete	manual_scaffold_2	146941569	146943911	-	519.3	643
196950at33208	Fragmented	manual_scaffold_1	500261791	500266411	+	250.2	292
197549at33208	Complete	manual_scaffold_1	236373992	236375296	+	106.6	334
197652at33208	Complete	manual_scaffold_2	362646869	362653530	+	676.5	426
200997at33208	Complete	manual_scaffold_1	397356335	397362431	-	469.2	499
201397at33208	Complete	manual_scaffold_2	442802708	442866603	-	594.2	446
202545at33208	Complete	manual_scaffold_1	523830842	523844697	-	437.0	387
203128at33208	Complete	manual_scaffold_1	60306877	60314495	+	828.7	438
203698at33208	Missing
205220at33208	Missing
206786at33208	Complete	manual_scaffold_2	361976717	361981207	+	341.4	366
206858at33208	Complete	manual_scaffold_1	531004048	531006282	-	430.6	501
207599at33208	Complete	manual_scaffold_2	431644602	431646134	+	415.4	386
208219at33208	Missing
210614at33208	Complete	manual_scaffold_1	198839755	198930398	+	197.5	358
212972at33208	Complete	manual_scaffold_1	365524838	365527189	+	162.0	251
214788at33208	Complete	manual_scaffold_2	320455090	320469716	-	304.3	348
215654at33208	Complete	manual_scaffold_2	337030447	337042191	+	475.0	403
216257at33208	Missing
216563at33208	Fragmented	manual_scaffold_3	195176819	195181665	-	86.6	123
218441at33208	Complete	manual_scaffold_1	606379258	606380267	-	207.1	201
219795at33208	Complete	manual_scaffold_1	405138165	405143175	-	204.3	353
219856at33208	Complete	manual_scaffold_1	407907015	407914906	+	577.3	394
222489at33208	Complete	manual_scaffold_1	112221494	112222831	+	543.2	358
223234at33208	Complete	manual_scaffold_2	117256105	117257502	+	201.1	361
224280at33208	Complete	manual_scaffold_2	441125167	441130278	-	717.0	439
226335at33208	Complete	manual_scaffold_1	138526654	138532106	+	502.5	339
226941at33208	Complete	manual_scaffold_3	40257296	40263533	-	487.1	381
227087at33208	Fragmented	manual_scaffold_2	380302572	380307083	+	107.5	142
227453at33208	Missing
227979at33208	Fragmented	manual_scaffold_1	568680828	568689070	+	221.1	216
231157at33208	Complete	manual_scaffold_3	29327245	29366690	+	411.2	382
231700at33208	Complete	manual_scaffold_1	460441922	460444531	-	178.7	377
234290at33208	Duplicated	manual_scaffold_2	130384466	130385875	-	185.9	480
234290at33208	Duplicated	manual_scaffold_1	361589395	361590651	-	211.6	453
235149at33208	Complete	manual_scaffold_1	103814726	103818174	+	219.2	361
235430at33208	Missing
235458at33208	Complete	manual_scaffold_1	526537482	526560848	+	313.0	296
239016at33208	Duplicated	manual_scaffold_4	73754242	73755927	+	200.9	348
239016at33208	Duplicated	manual_scaffold_4	73715224	73716909	+	201.2	348
239016at33208	Duplicated	manual_scaffold_4	73782174	73783862	+	202.0	348
239016at33208	Duplicated	manual_scaffold_4	73733451	73735139	+	202.2	382
239016at33208	Duplicated	manual_scaffold_4	73956859	73958559	+	203.6	352
239016at33208	Duplicated	manual_scaffold_4	73808525	73810210	+	203.7	352
239149at33208	Missing
239597at33208	Missing
240437at33208	Complete	manual_scaffold_4	72557779	72558822	-	304.1	265
244863at33208	Complete	manual_scaffold_2	309013836	309016139	-	310.5	536
245482at33208	Complete	manual_scaffold_4	2210940	2212544	-	299.9	388
245567at33208	Complete	manual_scaffold_3	74710357	74718409	+	350.6	392
246241at33208	Complete	manual_scaffold_1	173304689	173306243	+	430.9	394
247183at33208	Complete	manual_scaffold_4	45570533	45612351	-	757.2	586
247905at33208	Duplicated	manual_scaffold_2	329539058	329540680	-	200.6	375
247905at33208	Duplicated	manual_scaffold_2	329488701	329490323	-	200.8	375
249486at33208	Complete	manual_scaffold_2	211582603	211590573	+	261.9	405
251076at33208	Complete	manual_scaffold_3	142787605	142804580	+	555.5	314
251577at33208	Fragmented	manual_scaffold_1	338558849	338559265	+	62.4	135
255117at33208	Duplicated	manual_scaffold_1	405491097	405493019	+	228.4	481
255117at33208	Duplicated	manual_scaffold_1	405471294	405473279	+	242.9	518
255242at33208	Fragmented	manual_scaffold_1	214107146	214107817	+	134.0	117
255924at33208	Missing
257141at33208	Complete	manual_scaffold_1	96627825	96638849	-	195.6	206
257339at33208	Complete	manual_scaffold_2	415680081	415695137	-	239.6	303
259581at33208	Complete	manual_scaffold_1	270999910	271001511	-	54.5	280
260752at33208	Fragmented	manual_scaffold_2	310873811	310874014	+	96.0	67
261284at33208	Complete	manual_scaffold_2	449598591	449628313	-	205.2	356
261614at33208	Missing
262757at33208	Complete	manual_scaffold_2	401429830	401431310	+	254.5	296
266460at33208	Complete	manual_scaffold_3	50696320	50700434	-	556.1	432
266469at33208	Complete	manual_scaffold_1	461863293	461876668	-	115.6	145
266808at33208	Complete	manual_scaffold_3	172393176	172406989	-	501.6	317
267439at33208	Complete	manual_scaffold_3	166595192	166602235	+	568.8	404
268134at33208	Complete	manual_scaffold_2	164912757	165048823	+	240.6	237
268397at33208	Complete	manual_scaffold_2	380009501	380047909	+	555.8	587
270594at33208	Complete	manual_scaffold_1	190014239	190015561	-	219.4	343
271297at33208	Complete	manual_scaffold_1	17901195	17926458	+	277.3	231
271742at33208	Complete	manual_scaffold_4	74852168	74863685	-	536.9	388
272605at33208	Missing
273040at33208	Complete	manual_scaffold_3	192716227	192717444	+	144.9	141
273367at33208	Missing
273989at33208	Complete	manual_scaffold_2	90811081	90815370	-	428.8	379
