# BUSCO version is: 5.0.0 
# The lineage dataset is: metazoa_odb10 (Creation date: 2021-02-17, number of species: 65, number of BUSCOs: 954)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length
5951at33208	Complete	1	150761313	150783227	-	4015.7	1968
9639at33208	Complete	7	21798517	21889533	-	1456.2	1629
13816at33208	Complete	1	43471111	43530124	+	1163.7	1406
14776at33208	Missing
16244at33208	Complete	2	92124127	92182727	+	2102.0	1614
40200at33208	Complete	5	16018939	16099710	-	416.4	471
45934at33208	Missing
49474at33208	Complete	4	29065704	29368548	-	1084.7	1088
50756at33208	Complete	5	26196700	26240854	+	734.0	767
56573at33208	Complete	5	4771865	4800574	+	1032.1	918
57158at33208	Complete	2	89129312	89154635	+	1510.8	924
63697at33208	Complete	3	31702299	31723101	+	1674.4	921
64435at33208	Fragmented	7	9499530	9572569	-	63.7	191
65302at33208	Complete	1	191993545	192023667	+	792.5	932
66018at33208	Complete	1	198585604	198616782	+	1211.9	826
75406at33208	Complete	1	115867940	115898720	+	455.9	501
76852at33208	Complete	4	1417433	1491152	-	493.8	653
84980at33208	Complete	6	1403855	1437980	-	699.3	669
88053at33208	Complete	2	70671082	70715090	-	218.4	368
92367at33208	Missing
99614at33208	Missing
99987at33208	Complete	2	26487070	26516534	-	249.1	621
102804at33208	Complete	4	9900888	9929617	-	1002.2	894
103854at33208	Complete	1	8566521	8600315	-	241.0	544
107151at33208	Complete	2	25597483	25614548	+	985.5	628
107574at33208	Missing
108764at33208	Missing
109109at33208	Complete	2	33874383	33904237	+	966.1	563
111730at33208	Complete	1	198620372	198641096	-	535.4	545
111746at33208	Missing
114954at33208	Missing
115878at33208	Complete	1	220108018	220231073	+	267.1	252
118209at33208	Complete	1	201504094	201507932	-	1420.7	798
119252at33208	Complete	2	161325866	161404003	+	747.8	497
119591at33208	Complete	1	109362868	109405249	+	904.5	968
121127at33208	Missing
123923at33208	Complete	2	71633888	71653111	+	221.6	356
124302at33208	Complete	1	21797131	21850048	+	674.2	711
127766at33208	Complete	2	80609172	80637312	+	300.4	359
129179at33208	Complete	1	34905838	34921278	+	597.5	530
130245at33208	Complete	2	39482627	39517983	+	305.7	389
130256at33208	Complete	2	64167518	64202123	-	300.3	523
131349at33208	Complete	1	20708131	20739937	+	1052.5	786
131848at33208	Missing
132087at33208	Complete	6	1672457	1711975	+	518.9	681
134492at33208	Complete	1	178450218	178624867	+	915.3	871
135294at33208	Complete	niri01200010	20105	32073	+	250.4	447
137383at33208	Complete	1	124931322	124965290	-	670.3	650
139188at33208	Complete	2	9525081	9672880	+	448.3	592
143619at33208	Complete	1	33980229	33986308	-	239.0	279
143997at33208	Complete	2	4625148	4640300	+	350.7	306
146671at33208	Complete	1	97591590	97622347	-	588.6	585
147873at33208	Complete	1	160799613	160816645	-	820.9	531
148067at33208	Complete	1	185829797	185894375	-	165.3	433
148325at33208	Complete	2	142157977	142167101	+	123.5	181
152327at33208	Missing
152977at33208	Complete	3	11695780	11720495	+	336.4	302
153034at33208	Complete	2	51715760	51735231	-	436.4	376
157109at33208	Complete	4	18786950	18787592	+	79.4	152
157138at33208	Missing
158845at33208	Complete	1	181649070	181674290	+	134.2	409
158962at33208	Complete	1	120746203	120890999	+	491.1	526
162821at33208	Complete	1	140320918	140340519	-	485.3	390
164767at33208	Complete	1	50651609	50758175	-	392.9	570
166097at33208	Missing
168850at33208	Complete	1	120795304	120814181	+	533.7	490
168924at33208	Complete	6	3621422	3675650	+	419.5	449
169864at33208	Fragmented	2	114076366	114098765	+	166.0	305
172677at33208	Complete	1	146217782	146236990	-	110.6	157
176247at33208	Complete	5	13742675	13778475	+	306.9	322
177718at33208	Fragmented	2	120584708	120597217	+	209.9	250
177858at33208	Complete	2	73853553	73880430	+	663.6	480
178537at33208	Complete	4	16062529	16073252	+	721.8	399
179485at33208	Complete	2	136932653	136935405	-	300.1	220
180808at33208	Complete	1	198569922	198583655	+	500.8	383
182834at33208	Complete	2	1190457	1240181	+	339.0	383
184508at33208	Complete	1	38193651	38202549	+	294.5	355
184717at33208	Complete	2	94176037	94206389	-	816.6	480
186208at33208	Complete	1	22101876	22126197	-	864.8	720
186707at33208	Missing
187280at33208	Missing
