# BUSCO version is: 5.0.0 
# The lineage dataset is: metazoa_odb10 (Creation date: 2021-02-17, number of species: 65, number of BUSCOs: 954)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length
5951at33208	Duplicated	chr1_h2	82237358	82244801	+	3739.4	2002
5951at33208	Duplicated	chr1_h2	82334877	82342329	-	3712.8	2002
9639at33208	Complete	chr3_h2	73596795	73640577	+	1606.3	1376
13816at33208	Complete	chr2_h2	19381349	19397866	-	616.4	713
14776at33208	Missing
16244at33208	Complete	chr1_h2	70207201	70214103	-	2206.4	1671
40200at33208	Fragmented	chr3_h2	123107894	123110419	-	273.3	252
45934at33208	Complete	chr1_h2	329590279	329614577	-	501.6	679
49474at33208	Complete	chr1_h2	195625520	195638169	-	646.1	721
50756at33208	Duplicated	chr1_h2	33828975	33897111	-	708.1	626
50756at33208	Duplicated	h2tg000493c	27180	31508	-	705.8	626
50756at33208	Duplicated	chr1_h2	56285155	56288788	+	703.1	639
50756at33208	Duplicated	h2tg000493c	38015	41772	-	692.5	649
50756at33208	Duplicated	scaffold_4_h2	126144	245401	-	691.6	649
56573at33208	Duplicated	chr1_h2	31374498	31377949	-	840.9	885
56573at33208	Duplicated	chr1_h2	206377295	206379640	-	794.1	675
57158at33208	Complete	chr1_h2	22688893	22693237	-	1636.0	1035
63697at33208	Complete	chr3_h2	83463971	83469148	+	1731.1	1084
64435at33208	Fragmented	chr3_h2	43979089	43980654	+	92.6	170
65302at33208	Missing
66018at33208	Complete	chr1_h2	308216266	308220486	-	1160.8	848
75406at33208	Complete	chr3_h2	123326349	123328445	+	377.9	544
76852at33208	Fragmented	chr1_h2	213716702	213723711	+	408.0	406
84980at33208	Complete	chr4_h2	37264326	37267118	-	722.4	574
88053at33208	Fragmented	chr3_h2	128301449	128304318	+	130.5	116
92367at33208	Missing
99614at33208	Complete	chr2_h2	122162963	122189625	+	1043.4	876
99987at33208	Complete	chr1_h2	325734229	325736947	+	270.1	574
102804at33208	Complete	chr1_h2	85152849	85156821	-	655.8	648
103854at33208	Fragmented	chr2_h2	239128613	239135806	+	118.2	187
107151at33208	Complete	chr2_h2	222122855	222125632	+	976.1	780
107574at33208	Missing
108764at33208	Missing
109109at33208	Duplicated	chr1_h2	281243442	281248366	+	785.7	567
109109at33208	Duplicated	chr1_h2	279594941	279596965	-	770.4	563
111730at33208	Complete	chr3_h2	94802978	94819335	-	698.5	631
111746at33208	Missing
114954at33208	Complete	chr2_h2	66946208	66969032	-	353.6	363
115878at33208	Complete	chr2_h2	11651086	11659535	+	244.5	229
118209at33208	Complete	chr2_h2	117807151	117826454	-	1463.5	854
119252at33208	Complete	chr1_h2	168788991	168790962	-	632.7	515
119591at33208	Complete	chr2_h2	108193258	108206744	+	1015.7	839
121127at33208	Missing
123923at33208	Complete	chr3_h2	99112888	99129627	+	258.2	397
124302at33208	Complete	chr4_h2	6962425	6969466	+	519.3	422
127766at33208	Complete	chr2_h2	31480545	31497294	+	605.9	531
129179at33208	Complete	chr1_h2	131015706	131020949	+	598.5	568
130245at33208	Complete	chr2_h2	141041580	141045818	-	255.9	270
130256at33208	Complete	chr2_h2	79574653	79577041	+	256.9	559
131349at33208	Complete	chr1_h2	242552635	242556250	+	1260.9	903
131848at33208	Complete	chr3_h2	106050233	106060542	+	363.3	447
132087at33208	Complete	chr1_h2	179993686	180001887	-	471.5	515
134492at33208	Complete	chr1_h2	253257883	253269316	+	639.3	768
135294at33208	Complete	chr1_h2	63019042	63035484	+	317.5	422
137383at33208	Complete	chr2_h2	57693672	57715562	-	733.9	562
139188at33208	Complete	chr3_h2	106178337	106201056	-	375.3	411
143619at33208	Complete	chr3_h2	66891466	66902381	-	262.5	307
143997at33208	Complete	chr2_h2	213851882	213853481	-	337.3	375
146671at33208	Complete	chr4_h2	40867471	40871741	-	671.9	527
147873at33208	Complete	chr2_h2	196886544	196888502	-	592.5	552
148067at33208	Missing
148325at33208	Complete	chr2_h2	143123544	143126139	+	226.0	276
152327at33208	Missing
152977at33208	Duplicated	chr2_h2	191561364	191563524	+	215.3	287
152977at33208	Duplicated	h2tg000334l	137529	139689	+	215.3	287
153034at33208	Complete	chr1_h2	189156191	189160417	+	509.2	500
157109at33208	Complete	chr4_h2	49132826	49133640	-	84.5	200
157138at33208	Missing
158845at33208	Fragmented	chr1_h2	147282280	147282906	-	90.3	121
158962at33208	Complete	chr2_h2	220494832	220542281	-	508.4	549
162821at33208	Complete	chr1_h2	284413863	284425829	-	555.0	432
164767at33208	Complete	chr4_h2	49764623	49766942	+	363.9	564
166097at33208	Complete	chr4_h2	47942181	47949938	+	708.7	491
168850at33208	Complete	chr1_h2	65658524	65675419	+	472.8	394
168924at33208	Complete	h2tg000210l	333221	336773	+	285.3	221
169864at33208	Missing
172677at33208	Fragmented	chr3_h2	128079419	128079820	+	99.0	93
176247at33208	Complete	chr1_h2	183870583	183880352	+	222.9	205
177718at33208	Complete	chr1_h2	269915667	269917187	+	277.9	393
177858at33208	Complete	chr1_h2	263618610	263621728	-	846.5	602
178537at33208	Complete	chr2_h2	220465621	220469910	+	912.6	465
179485at33208	Complete	chr1_h2	228966061	228970762	+	463.4	363
180808at33208	Complete	chr3_h2	99164899	99183751	-	762.1	480
182834at33208	Complete	chr1_h2	222163146	222170075	-	277.6	316
184508at33208	Complete	chr1_h2	62243300	62244988	+	575.1	477
184717at33208	Complete	chr3_h2	72578220	72580163	-	801.9	505
186208at33208	Complete	chr3_h2	78143863	78151531	+	599.3	617
186707at33208	Missing
187280at33208	Complete	chr3_h2	7110968	7127532	-	537.1	423
189414at33208	Duplicated	chr1_h2	75648449	75649987	+	93.1	336
189414at33208	Duplicated	chr2_h2	13108461	13109978	-	92.3	350
190726at33208	Complete	chr2_h2	226095631	226097697	-	472.0	407
191938at33208	Missing
192250at33208	Duplicated	chr2_h2	172232220	172233953	+	290.7	308
192250at33208	Duplicated	chr2_h2	172149193	172150380	-	288.7	302
194754at33208	Complete	chr2_h2	245076036	245119147	-	1002.8	773
195986at33208	Complete	chr4_h2	7988695	7991001	-	517.0	590
196950at33208	Fragmented	chr2_h2	245711183	245713597	-	259.8	316
197549at33208	Complete	chr1_h2	131281788	131283293	+	124.7	374
197652at33208	Complete	chr4_h2	36810586	36812686	-	676.5	426
200997at33208	Complete	chr1_h2	330484260	330491667	+	467.3	472
201397at33208	Duplicated	chr1_h2	61514078	61525916	-	613.7	474
201397at33208	Duplicated	h2tg000154l	482340	494219	-	613.4	474
202545at33208	Complete	chr2_h2	166126494	166138129	+	416.3	375
203128at33208	Complete	chr3_h2	51340437	51348768	+	821.2	438
203698at33208	Missing
205220at33208	Missing
206786at33208	Complete	chr4_h2	36998229	36999879	-	348.6	373
206858at33208	Complete	chr2_h2	175878471	175880735	+	440.4	505
207599at33208	Complete	chr1_h2	24730507	24732000	+	420.9	377
208219at33208	Fragmented	chr2_h2	238424409	238425296	+	72.3	205
210614at33208	Complete	chr1_h2	161080848	161091919	+	196.1	375
212972at33208	Complete	chr3_h2	11261118	11262182	-	138.3	274
214788at33208	Complete	chr1_h2	267624940	267634246	-	286.9	309
215654at33208	Complete	chr1_h2	200030313	200034430	-	471.6	401
216257at33208	Missing
216563at33208	Fragmented	chr2_h2	23187409	23189969	+	49.7	98
218441at33208	Complete	chr2_h2	233100276	233101237	+	220.2	221
219795at33208	Complete	chr2_h2	110300861	110304976	-	225.3	349
219856at33208	Complete	chr2_h2	130008153	130010752	-	568.5	394
222489at33208	Complete	chr3_h2	128168588	128169919	+	541.9	349
223234at33208	Complete	chr1_h2	180855352	180856758	-	210.2	312
224280at33208	Duplicated	chr1_h2	60589866	60591972	+	716.8	439
224280at33208	Duplicated	chr1_h2	60828176	60830368	+	716.8	439
226335at33208	Complete	chr1_h2	84685719	84691194	+	539.2	363
226941at33208	Complete	chr2_h2	185322668	185330858	-	490.7	380
227087at33208	Fragmented	chr1_h2	191760002	191762667	-	132.3	143
227453at33208	Missing
227979at33208	Complete	chr2_h2	141644486	141656352	+	348.2	402
231157at33208	Complete	chr2_h2	180683093	180705325	+	401.8	385
231700at33208	Complete	chr2_h2	228393122	228395736	-	187.3	354
234290at33208	Complete	chr2_h2	50666152	50672690	-	360.5	291
235149at33208	Complete	chr3_h2	124409142	124411523	+	238.8	360
235430at33208	Missing
235458at33208	Complete	chr2_h2	164828201	164832552	+	340.0	326
239016at33208	Complete	chr1_h2	174662551	174664248	+	186.4	392
239149at33208	Missing
239597at33208	Missing
240437at33208	Complete	chr3_h2	79296203	79297251	-	292.3	237
244863at33208	Complete	chr4_h2	43465641	43467935	+	329.4	535
245482at33208	Complete	chr3_h2	17212	18810	+	317.5	379
245567at33208	Complete	chr2_h2	101498679	101500816	-	351.9	434
246241at33208	Complete	chr3_h2	42936694	42938134	+	441.6	369
247183at33208	Complete	chr3_h2	61580291	61605285	-	764.8	586
247905at33208	Complete	chr1_h2	272119452	272121080	-	204.0	360
249486at33208	Complete	chr1_h2	252905877	252909236	+	296.7	347
251076at33208	Complete	chr2_h2	198152676	198161496	+	522.0	314
251577at33208	Fragmented	chr1_h2	299034846	299035262	-	66.2	136
255117at33208	Fragmented	chr2_h2	22472953	22482650	+	429.1	402
255242at33208	Fragmented	chr3_h2	120215474	120216559	+	172.2	154
255924at33208	Missing
257141at33208	Complete	chr3_h2	121511756	121524000	-	205.2	205
257339at33208	Complete	chr1_h2	322734612	322736478	+	239.1	311
259581at33208	Complete	chr1_h2	100173446	100175047	-	53.0	297
260752at33208	Complete	chr4_h2	43185256	43194757	-	226.4	349
261284at33208	Complete	chr1_h2	178611451	178618632	-	202.0	359
261614at33208	Missing
262757at33208	Complete	chr1_h2	1078480	1080248	+	247.4	294
266460at33208	Complete	chr2_h2	92005404	92007415	-	498.4	445
266469at33208	Missing
266808at33208	Complete	chr2_h2	210397516	210407344	-	478.8	320
267439at33208	Complete	chr2_h2	207968709	207970224	+	568.3	403
268134at33208	Complete	chr1_h2	40807638	40813384	+	229.6	231
268397at33208	Complete	chr1_h2	191888371	191898904	-	568.8	564
270594at33208	Complete	chr1_h2	181396817	181398155	+	218.3	347
271297at33208	Complete	chr1_h2	217588535	217603488	-	277.4	231
271742at33208	Complete	chr3_h2	81718163	81723989	-	540.7	396
272605at33208	Missing
273040at33208	Complete	chr2_h2	24438118	24439452	-	147.1	112
273367at33208	Fragmented	chr3_h2	114637692	114637892	+	32.9	40
273989at33208	Complete	chr1_h2	204880118	204882229	-	402.5	379
274044at33208	Fragmented	chr2_h2	17639862	17640730	-	255.4	240
274064at33208	Complete	chr4_h2	39460960	39461685	-	86.2	222
274769at33208	Complete	chr1_h2	82152416	82153867	+	437.5	379
274992at33208	Duplicated	chr3_h2	31264	33970	+	530.4	325
274992at33208	Duplicated	h2tg000226l	6503	9209	+	530.4	325
277935at33208	Fragmented	chr2_h2	199616181	199618484	-	200.0	317
278227at33208	Complete	chr2_h2	8668227	8670552	+	328.4	334
279631at33208	Complete	chr2_h2	7368558	7372671	-	449.5	569
279992at33208	Complete	chr1_h2	58050962	58053669	+	331.5	325
280914at33208	Missing
281304at33208	Complete	chr1_h2	267749973	267762479	-	224.3	325
281693at33208	Missing
283637at33208	Complete	chr1_h2	208490347	208491657	+	585.5	361
284059at33208	Complete	chr1_h2	334786165	334791983	-	314.9	272
285146at33208	Complete	chr2_h2	13199156	13202918	+	250.4	237
285902at33208	Fragmented	chr3_h2	111576746	111584743	+	200.3	212
285966at33208	Complete	chr3_h2	33141013	33159838	+	256.2	258
286553at33208	Complete	chr3_h2	70297678	70319110	-	196.7	273
289235at33208	Complete	chr4_h2	37799492	37802536	+	171.1	232
289928at33208	Complete	chr1_h2	10974730	10981577	-	280.1	287
291505at33208	Complete	chr2_h2	185074342	185076716	-	485.5	436
291875at33208	Missing
295556at33208	Missing
295775at33208	Complete	chr1_h2	254005219	254030963	-	249.1	239
300303at33208	Complete	chr2_h2	176266622	176269057	-	104.8	220
301572at33208	Complete	chr1_h2	178427358	178428719	-	400.3	369
302186at33208	Missing
302279at33208	Complete	chr1_h2	258746458	258749918	-	488.7	303
302921at33208	Missing
303117at33208	Missing
304388at33208	Missing
