# BUSCO version is: 5.0.0 
# The lineage dataset is: metazoa_odb10 (Creation date: 2021-02-17, number of species: 65, number of BUSCOs: 954)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length
5951at33208	Complete	SM_V7_1	28938114	28958702	+	3744.6	1890
9639at33208	Duplicated	SM_V7_7H002	1514	95646	+	1415.1	1614
9639at33208	Duplicated	SM_V7_7	16502119	16615619	+	1523.1	1743
13816at33208	Complete	SM_V7_1	38865351	38898577	-	1149.8	1322
14776at33208	Missing
16244at33208	Complete	SM_V7_ZW	25961714	25990308	+	1979.8	1601
40200at33208	Complete	SM_V7_ZW	74963086	75004210	-	410.1	505
45934at33208	Missing
49474at33208	Complete	SM_V7_5	8080159	8121048	-	1180.8	1138
50756at33208	Complete	SM_V7_ZW	56068462	56117712	+	972.5	981
56573at33208	Complete	SM_V7_ZW	76808648	76830700	-	926.1	862
57158at33208	Complete	SM_V7_ZW	15282853	15300015	+	1772.7	1036
63697at33208	Complete	SM_V7_1	52899988	52914554	-	1871.9	995
64435at33208	Missing
65302at33208	Complete	SM_V7_4	40347908	40372294	+	711.9	888
66018at33208	Complete	SM_V7_2	10807943	10840028	-	1187.9	873
75406at33208	Complete	SM_V7_1	43812752	43844261	-	432.2	519
76852at33208	Complete	SM_V7_5	8512149	8573640	-	488.6	969
84980at33208	Complete	SM_V7_1	18194277	18215798	-	689.0	597
88053at33208	Complete	SM_V7_ZW	49795842	49847618	+	184.9	428
92367at33208	Missing
99614at33208	Missing
99987at33208	Complete	SM_V7_ZW	52583950	52599646	+	421.3	624
102804at33208	Complete	SM_V7_5	25163760	25191745	-	769.1	765
103854at33208	Complete	SM_V7_1	35647391	35703824	-	208.5	483
107151at33208	Complete	SM_V7_ZW	31558708	31587962	+	1236.1	786
107574at33208	Missing
108764at33208	Missing
109109at33208	Complete	SM_V7_ZW	31339487	31372140	+	967.9	599
111730at33208	Complete	SM_V7_2	10775160	10805466	+	418.2	468
111746at33208	Missing
114954at33208	Missing
115878at33208	Fragmented	SM_V7_2	35847509	35864067	-	261.6	209
118209at33208	Complete	SM_V7_2	19714352	19718205	-	1430.7	796
119252at33208	Complete	SM_V7_3	40190329	40221509	-	787.8	554
119591at33208	Complete	SM_V7_2	9339292	9391927	-	1002.4	979
121127at33208	Missing
123923at33208	Complete	SM_V7_ZW	42467113	42485487	-	137.1	348
124302at33208	Complete	SM_V7_1	60726558	60770083	-	684.9	676
127766at33208	Complete	SM_V7_ZW	68688356	68714531	+	541.5	559
129179at33208	Fragmented	SM_V7_1	38053391	38070981	-	184.1	298
130245at33208	Complete	SM_V7_ZW	18218750	18241940	+	221.2	297
130256at33208	Complete	SM_V7_ZW	60364145	60378971	+	262.1	436
131349at33208	Complete	SM_V7_1	34231387	34257111	+	1159.1	903
131848at33208	Missing
