# BUSCO version is: 5.0.0 
# The lineage dataset is: metazoa_odb10 (Creation date: 2021-02-17, number of species: 65, number of BUSCOs: 954)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length
5951at33208	Complete	HMN_03_pilon	6953741	6964867	-	4048.5	1975
9639at33208	Complete	HMN_06_pilon	10177029	10202362	-	1469.8	1671
13816at33208	Complete	HMN_03_pilon	6449422	6479994	+	1025.2	1328
14776at33208	Missing
16244at33208	Complete	HMN_02_pilon	28522180	28539595	-	2143.2	1667
40200at33208	Complete	HMN_02_pilon	13408941	13419536	+	498.8	515
45934at33208	Missing
49474at33208	Complete	HMN_01_pilon	9036590	9051897	-	932.7	1038
50756at33208	Complete	HMN_02_pilon	25652904	25672842	-	965.2	995
56573at33208	Complete	HMN_02_pilon	18700046	18704090	-	981.5	915
57158at33208	Complete	HMN_05_pilon	11792418	11801409	+	1576.8	977
63697at33208	Complete	HMN_04_pilon:14640771-14654209	14647784	14654209	+	1879.7	1002
64435at33208	Fragmented	HMN_06_pilon	16644979	16648107	-	68.6	205
65302at33208	Missing
66018at33208	Complete	HMN_01_pilon	19224598	19235885	-	1164.7	844
75406at33208	Complete	HMN_03_pilon	16795976	16798518	-	376.4	377
76852at33208	Complete	HMN_01_pilon	9747937	9760580	+	438.4	824
84980at33208	Complete	HMN_05_pilon	4866569	4874087	-	718.1	603
88053at33208	Complete	HMN_02_pilon	12304061	12315174	+	198.0	367
92367at33208	Missing
99614at33208	Missing
99987at33208	Complete	HMN_02_pilon	6147726	6154591	+	399.3	694
102804at33208	Complete	HMN_01_pilon	8823693	8831431	-	962.2	877
103854at33208	Fragmented	HMN_03_pilon	21496271	21498424	-	138.2	209
107151at33208	Complete	HMN_05_pilon	22134545	22145226	-	1213.2	806
107574at33208	Complete	HMN_01_pilon	31185060	31207157	+	96.3	417
108764at33208	Missing
109109at33208	Complete	HMN_05_pilon	18071432	18079193	+	929.4	577
111730at33208	Missing
111746at33208	Missing
114954at33208	Missing
115878at33208	Complete	HMN_01_pilon	42685690	42688863	+	283.2	255
118209at33208	Complete	HMN_01_pilon	42584806	42588496	+	1524.3	866
119252at33208	Complete	HMN_04_pilon	20582718	20590645	+	747.2	540
119591at33208	Missing
121127at33208	Missing
123923at33208	Complete	HMN_02_pilon	18712945	18720123	+	180.3	324
124302at33208	Complete	HMN_03_pilon	9798484	9830330	-	485.7	498
127766at33208	Complete	HMN_02_pilon	4895077	4907590	-	578.3	589
129179at33208	Complete	HMN_03_pilon	7561030	7566975	+	562.3	549
130245at33208	Complete	HMN_05_pilon	13707137	13715450	+	240.3	309
130256at33208	Complete	HMN_02_pilon	14309490	14314094	-	313.2	459
131349at33208	Complete	HMN_03_pilon	25157665	25165385	-	1197.5	919
131848at33208	Missing
132087at33208	Complete	HMN_03_pilon	16520713	16533534	+	450.9	646
134492at33208	Complete	HMN_03_pilon	23298381	23304726	-	873.6	869
135294at33208	Fragmented	HMN_05_pilon	13073345	13078952	+	83.4	215
137383at33208	Complete	HMN_01_pilon	13897569	13902401	-	520.2	501
139188at33208	Complete	HMN_02_pilon	30399374	30407499	+	376.9	585
143619at33208	Fragmented	HMN_03_pilon	8711425	8715907	+	130.6	170
143997at33208	Missing
146671at33208	Complete	HMN_03_pilon	19888624	19894961	+	567.8	623
147873at33208	Complete	HMN_01_pilon	21075782	21081069	-	837.8	568
148067at33208	Complete	HMN_01_pilon	19152153	19157772	+	153.1	409
148325at33208	Complete	HMN_04_pilon	15489081	15490684	+	200.9	196
152327at33208	Missing
152977at33208	Complete	HMN_04_pilon	8171339	8184552	-	354.1	456
153034at33208	Complete	HMN_05_pilon	18798979	18803055	+	610.2	507
157109at33208	Missing
157138at33208	Missing
158845at33208	Complete	HMN_01_pilon	17052883	17059966	+	139.3	454
158962at33208	Complete	HMN_05_pilon	1246082	1250344	-	439.4	551
162821at33208	Complete	HMN_01_pilon	32943769	32948647	-	472.2	378
164767at33208	Complete	HMN_06_pilon	9038950	9045356	-	409.6	690
166097at33208	Missing
168850at33208	Complete	HMN_01_pilon	40922662	40936438	-	506.0	479
168924at33208	Complete	HMN_05_pilon	1681515	1686023	+	361.5	360
169864at33208	Complete	HMN_04_pilon	22679536	22684801	+	315.9	430
172677at33208	Missing
176247at33208	Complete	HMN_02_pilon	14641215	14652933	+	301.2	274
177718at33208	Complete	HMN_04_pilon	22449740	22452368	-	305.1	349
177858at33208	Complete	HMN_01_pilon	5428423	5434136	-	838.7	587
178537at33208	Complete	HMN_02_pilon	30307661	30311089	+	834.3	438
179485at33208	Complete	HMN_04_pilon	18295421	18304097	+	402.6	535
180808at33208	Missing
182834at33208	Complete	HMN_05_pilon:18659346-18667209	18659346	18667805	-	307.8	376
184508at33208	Complete	HMN_06_pilon	1011602	1018675	-	400.7	500
184717at33208	Complete	HMN_04_pilon	1717669	1720344	+	783.8	478
186208at33208	Complete	HMN_03_pilon	13379387	13387224	-	854.9	707
186707at33208	Missing
187280at33208	Missing
189414at33208	Duplicated	HMN_05_pilon	5940818	5970774	-	97.9	354
189414at33208	Duplicated	HMN_05_pilon	5855849	5857933	+	99.5	354
190726at33208	Complete	HMN_01_pilon	1518300	1521111	-	389.3	394
191938at33208	Missing
192250at33208	Complete	HMN_03_pilon	17165078	17168437	+	366.9	306
194754at33208	Missing
195986at33208	Complete	HMN_01_pilon	9495072	9500935	-	748.6	625
196950at33208	Complete	HMN_05_pilon	1969175	1974185	-	311.8	389
197549at33208	Fragmented	HMN_03_pilon	7691846	7692658	-	66.8	199
197652at33208	Complete	HMN_04_pilon	8393125	8397213	+	682.2	428
200997at33208	Complete	HMN_02_pilon	25394922	25397044	-	431.4	459
201397at33208	Complete	HMN_06_pilon	11802123	11807190	-	519.1	448
202545at33208	Duplicated	HMN_01_pilon	30589639	30596294	+	416.2	383
202545at33208	Duplicated	HMN_01_pilon	41547692	41554209	-	421.0	384
203128at33208	Complete	HMN_04_pilon	5472596	5478143	-	803.6	450
203698at33208	Missing
205220at33208	Missing
206786at33208	Fragmented	HMN_05_pilon	8498279	8502469	+	112.0	140
